# SNOMED-CT codes from:
# https://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html
# These are also included in the DICOM standard, subject to the SNOMED-DICOM reuse agreement:
# ftp://medical.nema.org/medical/dicom/Geninfo/Policies/code_policy_20000921.pdf
# Integer Label,Text Label,Segmented Property Category -- CID 7150++,Segmented Property Type,Segmented Property Type Modifier,Color
# Version 2
SlicerLUT=GenericAnatomyColors
217,biliary tree,(T-D000A;SRT;Anatomical Structure),(T-60613;SRT;Bile Duct),,rgb(0;145;30)
218,gallbladder,(T-D000A;SRT;Anatomical Structure),(T-63002;SRT;gallbladder),,rgb(139;150;98)
219,pancreas,(T-D000A;SRT;Anatomical Structure),(T-D4034;SRT;pancreas),,rgb(249;180;111)
220,spleen,(T-D000A;SRT;Anatomical Structure),(T-C3000;SRT;Spleen),,rgb(157;108;162)
221,urinary system,(T-D000A;SRT;Anatomical Structure),(T-70002;SRT;urinary system),,rgb(203;136;116)
222,right kidney,(T-D000A;SRT;Anatomical Structure),(T-71000;SRT;Kidney),(G-A100;SRT;Right),rgb(185;102;83)
223,left kidney,(T-D000A;SRT;Anatomical Structure),(T-71000;SRT;Kidney),(G-A101;SRT;Left),rgb(185;102;83)
224,right ureter,(T-D000A;SRT;Anatomical Structure),(T-73005;SRT;ureter),,rgb(247;182;164)
225,left ureter,(T-D000A;SRT;Anatomical Structure),(T-73005;SRT;ureter),,rgb(247;182;164)
226,urinary bladder,(T-D000A;SRT;Anatomical Structure),(T-74000;SRT;Bladder),,rgb(222;154;132)
227,urethra,(T-D000A;SRT;Anatomical Structure),(T-75001;SRT;urethra ),,rgb(124;186;223)
228,right adrenal gland,(T-D000A;SRT;Anatomical Structure),(T-B3000;SRT;Adrenal Gland),(G-A100;SRT;Right),rgb(249;186;150)
229,left adrenal gland,(T-D000A;SRT;Anatomical Structure),(T-B3000;SRT;Adrenal Gland),(G-A101;SRT;Left),rgb(249;186;150)
230,female internal genitalia,(T-D000A;SRT;Anatomical Structure),(T-80021;SRT;female internal genitalia),,rgb(244;170;147)
231,uterus,(T-D000A;SRT;Anatomical Structure),(T-83000;SRT;Uterus),,rgb(255;181;158)
232,right fallopian tube,(T-D000A;SRT;Anatomical Structure),(T-D6101;SRT;fallopian tube),,rgb(255;190;165)
233,left fallopian tube,(T-D000A;SRT;Anatomical Structure),(T-D6101;SRT;fallopian tube),,rgb(227;153;130)
234,right ovary,(T-D000A;SRT;Anatomical Structure),(T-87000;SRT;Ovary),(G-A100;SRT;Right),rgb(213;141;113)
235,left ovary,(T-D000A;SRT;Anatomical Structure),(T-87000;SRT;Ovary),(G-A101;SRT;Left),rgb(213;141;113)
236,vagina,(T-D000A;SRT;Anatomical Structure),(T-82003;SRT;vagina),,rgb(193;123;103)
237,male internal genitalia,(T-D000A;SRT;Anatomical Structure),(T-90021;SRT;male internal genitalia),,rgb(216;146;127)
238,prostate,(T-D000A;SRT;Anatomical Structure),(T-92000;SRT;Prostate),,rgb(230;158;140)
239,right seminal vesicle,(T-D000A;SRT;Anatomical Structure),(T-93000;SRT;Seminal Vesicle),(G-A100;SRT;Right),rgb(245;172;147)
240,left seminal vesicle,(T-D000A;SRT;Anatomical Structure),(T-93000;SRT;Seminal Vesicle),(G-A101;SRT;Left),rgb(245;172;147)
241,right deferent duct,(T-D000A;SRT;Anatomical Structure),(T-96004;SRT;Vas Deferens),(G-A100;SRT;Right),rgb(241;172;151)
242,left deferent duct,(T-D000A;SRT;Anatomical Structure),(T-96004;SRT;Vas Deferens),(G-A101;SRT;Left),rgb(241;172;151)
243,skin of abdominal wall,(T-D000A;SRT;Anatomical Structure),(T-02489;SRT;Entire skin of abdomen),,rgb(177;124;92)
244,muscles of abdominal wall,(T-D000A;SRT;Anatomical Structure),(T-14205;SRT;Entire abdominal wall muscle),,rgb(171;85;68)
246,lumbar vertebral column,(T-D000A;SRT;Anatomical Structure),(T-1190E;SRT;lumbar vertebral column),,rgb(212;188;102)
247,female external genitalia,(T-D000A;SRT;Anatomical Structure),(T-80011;SRT;female external genitalia),,rgb(185;135;134)
248,male external genitalia,(T-D000A;SRT;Anatomical Structure),(T-90012;SRT;Entire male external genitalia ),,rgb(185;135;134)
249,skeleton of upper limb,(T-D000A;SRT;Anatomical Structure),(T-124A6;SRT;Entire bone of upper extremity),,rgb(198;175;125)
250,muscles of upper limb,(T-D000A;SRT;Anatomical Structure),(T-1360E;SRT;Entire skeletal muscle of upper limb),,rgb(194;98;79)
251,right upper limb,(T-D000A;SRT;Anatomical Structure),(T-D8004;SRT;upper limb),(G-A100;SRT;Right),rgb(177;122;101)
252,left upper limb,(T-D000A;SRT;Anatomical Structure),(T-D8004;SRT;upper limb),(G-A101;SRT;Left),rgb(177;122;101)
253,right shoulder,(T-D000A;SRT;Anatomical Structure),(T-D067C;SRT;shoulder region),(G-A100;SRT;Right),rgb(177;122;101)
254,left shoulder,(T-D000A;SRT;Anatomical Structure),(T-D067C;SRT;shoulder region),(G-A101;SRT;Left),rgb(177;122;101)
255,right arm,(T-D000A;SRT;Anatomical Structure),(T-D820B;SRT;upper arm),(G-A100;SRT;Right),rgb(177;122;101)
256,left arm,(T-D000A;SRT;Anatomical Structure),(T-D820B;SRT;upper arm),(G-A101;SRT;Left),rgb(177;122;101)
257,right elbow,(T-D000A;SRT;Anatomical Structure),(T-D06CA;SRT;elbow),(G-A100;SRT;Right),rgb(177;122;101)
258,left elbow,(T-D000A;SRT;Anatomical Structure),(T-D06CA;SRT;elbow),(G-A101;SRT;Left),rgb(177;122;101)
259,right forearm,(T-D000A;SRT;Anatomical Structure),(T-D8508;SRT;forearm),(G-A100;SRT;Right),rgb(177;122;101)
260,left forearm,(T-D000A;SRT;Anatomical Structure),(T-D8508;SRT;forearm),(G-A101;SRT;Left),rgb(177;122;101)
261,right wrist,(T-D000A;SRT;Anatomical Structure),(T-D0787;SRT;wrist region),(G-A100;SRT;Right),rgb(177;122;101)
262,left wrist,(T-D000A;SRT;Anatomical Structure),(T-D0787;SRT;wrist region),(G-A101;SRT;Left),rgb(177;122;101)
263,right hand,(T-D000A;SRT;Anatomical Structure),(T-D8701;SRT;hand),(G-A100;SRT;Right),rgb(177;122;101)
264,left hand,(T-D000A;SRT;Anatomical Structure),(T-D8701;SRT;hand),(G-A101;SRT;Left),rgb(177;122;101)
265,skeleton of lower limb,(T-D000A;SRT;Anatomical Structure),(T-127BF;SRT;Entire bone of lower extremity),,rgb(255;238;170)
266,muscles of lower limb,(T-D000A;SRT;Anatomical Structure),(T-1466E;SRT;Entire skeletal muscle of lower limb),,rgb(206;111;93)
267,right lower limb,(T-D000A;SRT;Anatomical Structure),(T-D903B;SRT;lower limb),(G-A100;SRT;Right),rgb(177;122;101)
268,left lower limb,(T-D000A;SRT;Anatomical Structure),(T-D903B;SRT;lower limb),(G-A101;SRT;Left),rgb(177;122;101)
269,right hip,(T-D000A;SRT;Anatomical Structure),(T-D2503;SRT;hip region),(G-A100;SRT;Right),rgb(177;122;101)
270,left hip,(T-D000A;SRT;Anatomical Structure),(T-D2503;SRT;hip region),(G-A101;SRT;Left),rgb(177;122;101)
271,right thigh,(T-D000A;SRT;Anatomical Structure),(T-D9106;SRT;thigh),(G-A100;SRT;Right),rgb(177;122;101)
272,left thigh,(T-D000A;SRT;Anatomical Structure),(T-D9106;SRT;thigh),(G-A101;SRT;Left),rgb(177;122;101)
273,right knee,(T-D000A;SRT;Anatomical Structure),(T-D03BA;SRT;knee region),(G-A100;SRT;Right),rgb(177;122;101)
274,left knee,(T-D000A;SRT;Anatomical Structure),(T-D03BA;SRT;knee region),(G-A101;SRT;Left),rgb(177;122;101)
275,right leg,(T-D000A;SRT;Anatomical Structure),(T-D940B;SRT;lower leg from knee to ankle),(G-A100;SRT;Right),rgb(177;122;101)
276,left leg,(T-D000A;SRT;Anatomical Structure),(T-D940B;SRT;lower leg from knee to ankle),(G-A101;SRT;Left),rgb(177;122;101)
277,right foot,(T-D000A;SRT;Anatomical Structure),(T-D9706;SRT;foot),(G-A100;SRT;Right),rgb(177;122;101)
278,left foot,(T-D000A;SRT;Anatomical Structure),(T-D9706;SRT;foot),(G-A101;SRT;Left),rgb(177;122;101)
279,peripheral nervous system,(T-D000A;SRT;Anatomical Structure),(T-A0141;SRT;peripheral nervous system),,rgb(216;186;0)
280,autonomic nerve,(T-D000A;SRT;Anatomical Structure),(T-A9606;SRT;autonomic nerve),,rgb(255;226;77)
281,sympathetic trunk,(T-D000A;SRT;Anatomical Structure),(T-A9637;SRT;sympathetic trunk),,rgb(255;243;106)
282,cranial nerves,(T-D000A;SRT;Anatomical Structure),(T-A800A;SRT;cranial nerve),,rgb(255;234;92)
283,vagus nerve,(T-D000A;SRT;Anatomical Structure),(T-A8008;SRT;vagus nerve),,rgb(240;210;35)
284,peripheral nerve,(T-D000A;SRT;Anatomical Structure),(T-A051B;SRT;peripheral nerve),,rgb(224;194;0)
285,circulatory system,(T-D000A;SRT;Anatomical Structure),(T-30001;SRT;Cardiovascular system),,rgb(213;99;79)
286,systemic arterial system,(T-D000A;SRT;Anatomical Structure),(T-4105E;SRT;Systemic arterial structure),,rgb(217;102;81)
287,systemic venous system,(T-D000A;SRT;Anatomical Structure),(T-4000B;SRT;Entire systemic vein),,rgb(0;147;202)
288,pulmonary arterial system,(T-D000A;SRT;Anatomical Structure),(T-44012;SRT;Entire pulmonary artery),,rgb(0;122;171)
289,pulmonary venous system,(T-D000A;SRT;Anatomical Structure),(T-48500;SRT;Entire pulmonary vein),,rgb(186;77;64)
290,lymphatic system,(T-D000A;SRT;Anatomical Structure),(T-C6004;SRT;lymphatic system),,rgb(111;197;131)
291,needle,(A-00004;SRT;Physical Object),(A-30360;SRT;Needle),,rgb(240;255;30)
309,cyst,(M-01000;SRT;Morphologically Altered Structure),(M-3340A;SRT;Cyst),,rgb(205;205;100)
